=======================================
Testing Minimized Seeds (723 tests)
=======================================

Step 1: Copying team files...
Step 2: Building Rust binary...
Step 3: Running JavaScript battles...
Step 4: Running Rust battles...
Step 5: Copying results...

Step 6: Comparing results...

Seed 1977: ✗ FAIL - #1: turn=2, prng=0->3, P1=[Tinkatink(156/156)], P2=[Leafeon(216/227)]
Seed 1989: ✗ FAIL - #1: turn=2, prng=0->6, P1=[Electrike(175/186)], P2=[Wynaut(195/222)]
Seed 1998: ✗ FAIL - #1: turn=2, prng=0->4, P1=[Mimikyu(211/211)], P2=[Scizor(202/214)]
Seed 2000: ✗ FAIL - #1: turn=2, prng=0->3, P1=[Espeon(166/210)], P2=[Gastrodon(357/357)]
Seed 2009: ✗ FAIL - #1: turn=2, prng=3->20, P1=[Moltres(169/230)], P2=[Cranidos(274/287)]
Seed 2026: ✗ FAIL - #1: turn=2, prng=0->5, P1=[Torkoal(86/173)], P2=[Yveltal(385/414)]
Seed 2027: ✗ FAIL - #1: turn=2, prng=0->6, P1=[Cottonee(180/204)], P2=[Scattervein(142/164)]
Seed 2030: ✗ FAIL - #1: turn=2, prng=0->3, P1=[Terapagos(413/439)], P2=[Arbok(265/265)]
Seed 2054: ✗ FAIL - #1: turn=2, prng=0->5, P1=[Walking Wake(235/272)], P2=[Vibrava(187/187)]
Seed 2086: ✗ FAIL - #1: turn=2, prng=0->3, P1=[Pidgeotto(257/257)], P2=[Inkay(157/206)]
Seed 2095: ✗ FAIL - #1: turn=2, prng=0->8, P1=[Typhlosion(220/287)], P2=[Pokestar Giant(278/340)]
Seed 2139: ✗ FAIL - #1: turn=2, prng=0->6, P1=[Voltorb(138/174)], P2=[Indeedee(173/224)]
Seed 2166: ✗ FAIL - #1: turn=2, prng=0->7, P1=[Ribombee(144/162)], P2=[Zigzagoon(88/137)]
Seed 2169: ✗ FAIL - #1: turn=2, prng=0->3, P1=[Tornadus(251/289)], P2=[Bronzong(187/187)]
Seed 2178: ✗ FAIL - #1: turn=2, prng=0->6, P1=[Crabominable(311/322)], P2=[Axew(30/132)]
Seed 2188: ✗ FAIL - #1: turn=2, prng=0->3, P1=[Solgaleo(278/278)], P2=[Kyogre(315/337)]
Seed 2190: ✗ FAIL - #1: turn=2, prng=0->10, P1=[Slowbro(275/317)], P2=[Lucario(234/249)]
Seed 2201: ✗ FAIL - #1: turn=2, prng=0->6, P1=[Kyogre(296/333)], P2=[Stunky(184/185)]
Seed 2208: ✗ FAIL - #1: turn=2, prng=0->7, P1=[Wooloo(193/236)], P2=[Solrock(304/318)]
Seed 2212: ✗ FAIL - #1: turn=2, prng=0->3, P1=[Greavard(211/211)], P2=[Shaymin(309/319)]
Seed 2214: ✗ FAIL - #1: turn=2, prng=0->5, P1=[Foongus(269/282)], P2=[Drednaw(295/295)]
Seed 2232: ✗ FAIL - #1: turn=2, prng=0->4, P1=[Tapu Fini(216/287)], P2=[Dartrix(237/237)]
Seed 2261: ✗ FAIL - #1: turn=2, prng=0->7, P1=[Klinklang(240/260)], P2=[Groudon(282/330)]
Seed 2266: ✗ FAIL - #1: turn=1, prng=0->6, P1=[Carbink(163/168)], P2=[Ribombee(150/178)]
Seed 2303: ✗ FAIL - #1: turn=2, prng=0->6, P1=[Seaking(218/242)], P2=[Growlithe(163/202)]
Seed 2304: ✗ FAIL - #1: turn=2, prng=0->1, P1=[Caribolt(170/170)], P2=[Rellor(211/211)]
Seed 2329: ✗ FAIL - #1: turn=2, prng=0->6, P1=[Drednaw(140/199)], P2=[Tangrowth(292/305)]
Seed 2338: ✗ FAIL - #1: turn=2, prng=0->3, P1=[Meditite(91/132)], P2=[Shedinja(1/1)]
Seed 2341: ✗ FAIL - #1: turn=2, prng=0->1, P1=[Palpitoad(236/236)], P2=[Ninjask(248/248)]
Seed 2351: ✗ FAIL - #1: turn=2, prng=0->7, P1=[Tapu Fini(216/226)], P2=[Wooper(144/182)]
Seed 2358: ✗ FAIL - #1: turn=2, prng=0->6, P1=[Basculin(190/234)], P2=[Krookodile(297/314)]
Seed 2366: ✗ FAIL - #1: turn=2, prng=0->3, P1=[Rowlet(229/229)], P2=[Mudbray(192/229)]
Seed 2388: ✗ FAIL - #1: turn=2, prng=0->6, P1=[Chromera(260/261)], P2=[Toedscool(161/216)]
Seed 2394: ✗ FAIL - #1: turn=2, prng=0->1, P1=[Vikavolt(184/184)], P2=[Toxapex(136/136)]
Seed 2397: ✗ FAIL - #1: turn=2, prng=0->3, P1=[Anorith(162/189)], P2=[Pecharunt(308/308)]
Seed 2403: ✗ FAIL - #1: turn=1, prng=0->4, P1=[Diglett(0/92)], P2=[Tapu Fini(196/196)]
Seed 2440: ✗ FAIL - #1: turn=2, prng=0->4, P1=[Reshiram(302/302)], P2=[Darmanitan(334/353)]
Seed 2447: ✗ FAIL - #1: turn=2, prng=0->4, P1=[Pikachu(229/229)], P2=[Lucario(173/173)]
Seed 2452: ✗ FAIL - #1: turn=2, prng=0->6, P1=[Bibarel(112/165)], P2=[Rayquaza(164/191)]
Seed 2453: ✗ FAIL - #1: turn=2, prng=0->3, P1=[Kyogre(265/266)], P2=[Swanna(203/203)]
Seed 2455: ✗ FAIL - #1: turn=2, prng=0->6, P1=[Cramorant(186/205)], P2=[Shelgon(91/153)]
Seed 2460: ✗ FAIL - #1: turn=2, prng=0->3, P1=[Poochyena(183/183)], P2=[Baxcalibur(314/323)]
Seed 2469: ✗ FAIL - #1: turn=2, prng=0->6, P1=[Feraligatr(251/267)], P2=[Regigigas(109/241)]
Seed 2535: ✗ FAIL - #1: turn=2, prng=0->2, P1=[Ramnarok(326/326)], P2=[Wishiwashi(198/244)]
Seed 2541: ✗ FAIL - #1: turn=2, prng=0->4, P1=[Tapu Fini(287/287)], P2=[Floette(209/247)]
Seed 2545: ✗ FAIL - #1: turn=2, prng=0->6, P1=[Ho-Oh(307/315)], P2=[Skarmory(241/244)]
Seed 2549: ✗ FAIL - #1: turn=2, prng=0->8, P1=[Landorus(152/217)], P2=[Gallade(239/263)]
Seed 2553: ✗ FAIL - #1: turn=2, prng=0->7, P1=[Tyranitar(109/193)], P2=[Lucario(144/158)]
Seed 2579: ✗ FAIL - #1: turn=2, prng=0->3, P1=[Carnivine(213/271)], P2=[Dreepy(134/134)]
Seed 2597: ✗ FAIL - #1: turn=2, prng=0->7, P1=[Voodoll(206/230)], P2=[Pawmi(152/206)]
Seed 2609: ✗ FAIL - #1: turn=2, prng=0->1, P1=[Giratina(240/240)], P2=[Aron(214/214)]
Seed 2618: ✗ FAIL - #1: turn=2, prng=0->7, P1=[Pansear(87/141)], P2=[Meloetta(241/249)]
Seed 2622: ✗ FAIL - #1: turn=2, prng=0->3, P1=[Basculegion(356/356)], P2=[Goomy(61/145)]
Seed 2633: ✗ FAIL - #1: turn=2, prng=0->6, P1=[Bergmite(204/237)], P2=[Gastrodon(326/384)]
Seed 2651: ✗ FAIL - #1: turn=2, prng=0->7, P1=[Piplup(178/208)], P2=[Dartrix(137/237)]
Seed 2655: ✗ FAIL - #1: turn=2, prng=0->3, P1=[Bruxish(211/234)], P2=[Smoguana(200/200)]
Seed 2665: ✗ FAIL - #13: turn=13, prng=36->36, P1=[Scraggy(133/133)], P2=[Sandaconda(190/190)]
Seed 2674: ✗ FAIL - #1: turn=2, prng=0->6, P1=[Audino(270/303)], P2=[Medicham(135/208)]
Seed 2687: ✗ FAIL - #1: turn=2, prng=0->6, P1=[Whismur(221/290)], P2=[Hemogoblin(197/242)]
Seed 2719: ✗ FAIL - #1: turn=2, prng=0->4, P1=[Komala(85/162)], P2=[Shedinja(1/1)]
Seed 2729: ✗ FAIL - #1: turn=2, prng=0->4, P1=[Blastoise(199/251)], P2=[Jolteon(195/195)]
